# Simulated random data file for batch processing
# timestamp: 2022-04-06 14:09:13
# NJG
# ------------------------

"var_x","var_y"
0.378434431506321,0.334641960682347
0.168704017996788,0.597034107660875
0.535387767944485,NA
0.765694574220106,0.89705305127427
0.100070937536657,0.264814323280007
0.502642747713253,0.867773595033213
0.265218560118228,0.806653380393982
NA,NA
0.925998141523451,0.164110880112275
0.115066843107343,0.0173502080142498
NA,0.942940401146188
NA,0.702293971320614
0.809854466235265,0.602231812896207
0.911878884769976,0.690663491841406
0.848071764456108,0.0596795692108572
0.110188517021015,0.420388938859105
0.796551569597796,0.761859104735777
0.172489473363385,0.15462278528139
0.997793758753687,0.909470909740776
0.434790453175083,0.109478341648355
0.063063986832276,0.591909707756713
0.207650213269517,0.407043096376583
0.931412521516904,0.963422829052433
0.598029407439753,0.667465875158086
0.343283481895924,0.672727949684486
0.1504058430437,0.999007515143603
0.229752147803083,0.182401042664424
0.96436177729629,0.918619388714433
0.0961728026159108,0.737872473197058
0.631045219721273,0.634770613862202
0.941768775694072,0.73962449748069
0.162377981934696,0.841447071870789
0.719240648439154,NA
0.758998784935102,0.676021501421928
0.904029729077592,0.875972330803052
0.625627174740657,0.0151066652033478
0.360426915576681,0.175223781960085
0.263493883656338,0.835980953648686
0.156127664726228,0.706120196962729
0.680534602375701,0.402604265138507
0.685692152241245,0.259274490410462
0.126251434674487,0.275519646005705
0.73858954757452,0.368713542819023
0.643940918380395,0.917862547794357
0.778465746669099,0.391231754096225
0.00164086604490876,0.886010692454875
0.489974617958069,0.485575921367854
0.0868907363619655,0.820590957533568
0.172964390134439,0.304684684379026
0.82387127331458,0.482021173695102
0.426398466341197,0.326777052134275
0.702081569703296,0.318431780440733
0.844951470615342,0.0655421570409089
0.431701997295022,0.214791300939396
0.672797092236578,0.0921006717253476
0.602589586749673,0.200140699511394
0.366725834552199,0.65030281431973
0.199923858977854,0.276451153215021
0.594265915686265,0.033095199149102
0.224967926740646,0.0597045121248811
0.871450838865712,NA
0.368371128337458,0.809929932933301
0.823055326472968,0.52097861119546
0.590153785655275,0.400462549179792
0.0337548782117665,0.0858828227501363
0.908706545596942,0.789634105283767
0.623179176589474,0.9086405611597
0.340202861232683,0.0629232469946146
0.998626664048061,0.0159007529728115
0.114898148458451,0.437175157712772
NA,0.848708176985383
NA,0.660311497747898
0.977592696202919,0.112045293673873
0.967652105959132,0.829567275475711
0.14478671294637,0.699597360566258
0.563583355629817,0.703577626729384
0.93265416752547,0.825203068787232
0.463621922302991,0.109468290582299
0.712555276229978,0.250874293735251
0.0353889307007194,0.727429090999067
0.51567660132423,0.409981129458174
0.338314327411354,0.224913877202198
0.988869410241023,0.491849754471332
0.47945441189222,0.563358281040564
0.921233452158049,0.198016555747017
0.445660093799233,0.443963870406151
0.60684467991814,0.482145954621956
0.912845073500648,0.852361941011623
0.749156481353566,0.784030286828056
0.388984480174258,0.688614060170949
0.22841672739014,0.631312903249636
0.696416433202103,NA
0.676839228486642,0.736314210109413
0.309845344163477,0.818925822619349
0.0606692058499902,0.571851463289931
0.958562809275463,0.289932542713359
0.367010267451406,0.0226643281057477
0.341676835902035,0.169748042244464
0.497744656167924,0.0812664648983628
0.94031226169318,0.432564976625144
